REGIAO;MES;ANO;PRECIPITACAO TOTAL
pantanal;1;2012;551.9999999999994
pantanal;1;2017;493.79999999999984
pantanal;1;2013;463.99999999999994
pantanal;1;2015;174.4000000000001
pantanal;1;2011;864.2000000000003
pantanal;1;2014;473.9999999999994
pantanal;1;2016;1025.2000000000014
pantanal;1;2010;698.0000000000017
pantanal;1;2019;128.00000000000003
pantanal;1;2018;517.3999999999996
pantanal;2;2013;398.39999999999964
pantanal;2;2016;528.7999999999995
pantanal;2;2017;413.9999999999999
pantanal;2;2015;653.1999999999998
pantanal;2;2014;288.59999999999957
pantanal;2;2018;553.9999999999998
pantanal;2;2011;712.9999999999999
pantanal;2;2019;705.4000000000004
pantanal;2;2012;387.9999999999996
pantanal;2;2010;298.99999999999955
pantanal;3;2010;331.7999999999999
pantanal;3;2015;224.40000000000003
pantanal;3;2014;693.0000000000005
pantanal;3;2018;128.80000000000004
pantanal;3;2017;285.99999999999983
pantanal;3;2019;378.5999999999998
pantanal;3;2011;484.1999999999995
pantanal;3;2016;349.79999999999967
pantanal;3;2013;588.2000000000003
pantanal;3;2012;555.9999999999998
pantanal;4;2013;863.0000000000009
pantanal;4;2017;562.9999999999999
pantanal;4;2012;365.7999999999997
pantanal;4;2016;166.60000000000014
pantanal;4;2019;516.399999999998
pantanal;4;2018;96.60000000000002
pantanal;4;2010;116.20000000000003
pantanal;4;2015;151.39999999999995
pantanal;4;2014;43.2
pantanal;4;2011;111.6
pantanal;5;2016;283.59999999999985
pantanal;5;2011;9.2
pantanal;5;2018;67.2
pantanal;5;2012;295.99999999999966
pantanal;5;2010;309.9999999999996
pantanal;5;2013;227.39999999999995
pantanal;5;2014;623.0000000000003
pantanal;5;2017;376.3999999999997
pantanal;5;2019;212.1999999999998
pantanal;5;2015;254.5999999999997
pantanal;6;2011;27.4
pantanal;6;2010;18.399999999999995
pantanal;6;2017;154.9999999999999
pantanal;6;2013;560.5999999999999
pantanal;6;2018;36.400000000000006
pantanal;6;2015;4.800000000000001
pantanal;6;2014;62.80000000000007
pantanal;6;2012;417.7999999999994
pantanal;6;2019;71.00000000000009
pantanal;6;2016;60.2
pantanal;7;2010;47.40000000000001
pantanal;7;2014;170.79999999999987
pantanal;7;2015;16.799999999999997
pantanal;7;2016;3.000000000000001
pantanal;7;2013;95.40000000000012
pantanal;7;2017;2.6000000000000005
pantanal;7;2011;57.60000000000001
pantanal;7;2018;6.000000000000003
pantanal;7;2019;28.599999999999973
pantanal;7;2012;27.59999999999998
pantanal;8;2010;0.0
pantanal;8;2016;209.79999999999995
pantanal;8;2014;54.6
pantanal;8;2018;88.00000000000006
pantanal;8;2012;4.8
pantanal;8;2017;158.20000000000002
pantanal;8;2013;2.6
pantanal;8;2011;44.6
pantanal;8;2015;6.6000000000000005
pantanal;8;2019;24.799999999999997
pantanal;9;2019;27.999999999999996
pantanal;9;2011;164.60000000000008
pantanal;9;2014;172.99999999999986
pantanal;9;2013;160.79999999999993
pantanal;9;2017;68.60000000000001
pantanal;9;2015;358.9999999999998
pantanal;9;2016;128.00000000000006
pantanal;9;2010;204.60000000000005
pantanal;9;2018;232.9999999999999
pantanal;9;2012;276.79999999999984
pantanal;10;2011;469.8
pantanal;10;2019;134.40000000000015
pantanal;10;2015;166.20000000000007
pantanal;10;2010;405.79999999999944
pantanal;10;2017;787.8000000000005
pantanal;10;2016;189.1999999999999
pantanal;10;2012;311.7999999999998
pantanal;10;2018;173.8
pantanal;10;2014;127.59999999999998
pantanal;10;2013;232.19999999999996
pantanal;11;2018;549.6
pantanal;11;2010;655.1999999999999
pantanal;11;2015;401.39999999999986
pantanal;11;2019;141.00000000000028
pantanal;11;2013;428.79999999999956
pantanal;11;2014;803.9999999999995
pantanal;11;2012;562.4000000000001
pantanal;11;2017;534.1999999999973
pantanal;11;2011;230.99999999999994
pantanal;11;2016;327.5999999999999
pantanal;12;2014;510.3999999999984
pantanal;12;2018;158.79999999999987
pantanal;12;2012;575.2000000000003
pantanal;12;2013;565.4
pantanal;12;2015;503.1999999999996
pantanal;12;2019;701.8000000000029
pantanal;12;2017;499.1999999999987
pantanal;12;2010;375.39999999999986
pantanal;12;2016;588.6000000000004
pantanal;12;2011;425.39999999999986
